PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,CP3,CPZ,CP4,P3,PZ,P4,O1,OZ,O2,grandmean
52,13,LOW,27,12.08959579,15.3200531,17.51284409,15.05244637,17.37281036,20.33981514,13.552232740000001,9.63378334,13.83274555,14.96736960888889
53,15,LOW,25,0.829439759,1.027378678,0.800697803,1.428558588,0.636350989,-0.119055942,-0.855472744,-0.874001682,-1.265908718,0.1786651923333334
54,20,LOW,19,5.20619154,4.223899364,5.290242195,5.76126194,4.593680859,5.191142082,1.66332233,0.248211265,0.225771606,3.6004136867777783
55,8,LOW,15,0.544171035,-0.653536022,-1.197308064,0.573702037,-0.221783474,-0.745130897,0.52170682,0.337669581,0.140199751,-0.077812137
56,16,LOW,12,-3.060191154,-3.504916668,-1.937294722,-3.19728899,-4.092439651,-3.039808512,-3.323373318,-3.396927357,-3.132167578,-3.1871564388888896
57,13,LOW,24,-0.175123289,0.583902478,0.661987662,0.29293716,1.107710838,0.568128228,0.37844339,0.410119891,0.114973471,0.43811998100000005
58,16,LOW,17,6.543980122,6.207591534,5.522289276,7.035719395,6.694107056,6.521216869,5.032876015,4.183924198,4.364629269,5.78959263711111
59,14,LOW,23,6.368223667,6.796256542,6.297112942,6.226447105,6.907022476,6.485026836,3.389821053,3.349908352,2.696746826,5.390729533222223
60,15,LOW,24,6.236513615,6.210124016,6.688555241,7.440092087,7.675553799,7.661073685,7.889309883,7.484018326,7.27174902,7.172998852444445
61,18,LOW,22,3.909923792,5.291259766,4.488821507,4.233386517,5.511565208,4.9299554820000004,2.517742872,3.189565897,4.196452141,4.252074798
62,11,LOW,24,-2.013911963,-4.899455547,-3.044893742,-2.371737003,-4.967257977,-3.067548275,0.041634619,-1.497005463,-1.794739723,-2.6238794526666664
63,14,LOW,24,3.321108103,4.17872715,3.371994257,2.997703314,3.620220423,2.913946629,0.240507245,0.258077323,0.546051562,2.3831484451111105
