PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,CP3,CPZ,CP4,P3,PZ,P4,O1,OZ,O2,grandmean
47,15,INTERMEDIATE,34,0.639411747,0.377129972,0.748217404,0.537151515,-0.033693328,0.293909162,-0.130516455,-0.106348492,-0.37823683,0.21633607722222223
48,13,INTERMEDIATE,35,1.813827157,-1.295549631,-0.067811139,2.241547823,-1.856869578,0.220668599,1.604956031,-0.019306216,0.129264519,0.3078586183333333
49,14,INTERMEDIATE,31,5.084528923,4.3656497,4.106262684,5.375193596,5.11340189,4.851869106,5.097779274,5.067852497,5.333547592,4.932898362444444
50,10,INTERMEDIATE,35,0.70015353,-0.347373933,0.294522464,0.43768695,-0.149149865,0.199817091,-2.338130236,-1.651437998,-1.488146424,-0.48245093566666664
51,13,LOW,24,0.534119248,-1.800430655,0.110995367,1.401302934,-0.52483952,0.969037592,3.058701754,2.713031292,1.514706135,0.8862915718888889
52,13,LOW,27,5.943882942,8.083323479,9.044047356,7.343898296,8.90875721,9.927389145,6.465502262,3.97206378,5.354152679,7.227001905444443
53,15,LOW,25,1.311780095,0.125495553,0.5635975,1.026476383,-0.176787615,-0.855025947,-1.218204379,-1.312933087,-1.887593746,-0.26924391588888885
54,20,LOW,19,0.071684666,-3.306593895,-1.511385798,-0.161152795,-3.463621855,-2.147331238,-2.419644594,-3.482954264,-3.879641771,-2.2556268382222218
55,8,LOW,15,-1.315860868,-2.295982838,-1.201367497,-1.142221928,-2.49091959,-1.438950062,-1.866507649,-1.341142774,-1.23234117,-1.5916993751111113
56,16,LOW,12,-1.013622999,-1.837367296,-1.430851698,-0.138243169,-1.340748549,-1.211418152,0.037177175,-0.232564136,0.078198574,-0.7877155833333332
57,13,LOW,24,0.142378658,0.877675235,1.196046114,1.002521038,1.115901589,0.962119401,0.305279106,0.347579688,0.514377236,0.7182086738888889
58,16,LOW,17,5.416375637,5.090328217,6.16787529,5.802388191,5.862694263,6.380497456,3.611503839,2.901805878,3.187327385,4.935644017333334
