PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,condition,mean
64,15,LOW,21,number,2.205396169
65,13.5,LOW,24,gender,5.927857982
65,13.5,LOW,24,grammatical,4.784341839
65,13.5,LOW,24,number,7.691807959
66,14,LOW,28,gender,7.70238177
66,14,LOW,28,grammatical,6.960476028
66,14,LOW,28,number,10.13546509
67,15,LOW,26,gender,2.844426844
67,15,LOW,26,grammatical,2.587224669
67,15,LOW,26,number,4.6534991
68,14,LOW,26,gender,4.047608005
68,14,LOW,26,grammatical,3.130545749
68,14,LOW,26,number,2.23564016
69,11,LOW,21,gender,5.808936437
69,11,LOW,21,grammatical,2.29887671
69,11,LOW,21,number,4.247197946
70,14,LOW,17,gender,0.702231334
70,14,LOW,17,grammatical,-0.50706291
70,14,LOW,17,number,0.150475671
71,20,LOW,18,gender,6.064893564
71,20,LOW,18,grammatical,3.392733907
71,20,LOW,18,number,9.196791437
72,13,LOW,13,gender,5.820259068
72,13,LOW,13,grammatical,3.854917738
72,13,LOW,13,number,7.342944198
73,15,LOW,12,gender,0.992571622
73,15,LOW,12,grammatical,-2.719329966
73,15,LOW,12,number,2.159123109
74,16,LOW,15,gender,6.722602632
74,16,LOW,15,grammatical,0.852577226
74,16,LOW,15,number,6.757108794
75,12,LOW,21,gender,2.72009831
75,12,LOW,21,grammatical,2.342796458
75,12,LOW,21,number,4.300363329
76,14,LOW,28,gender,5.371025085
76,14,LOW,28,grammatical,1.200721647
76,14,LOW,28,number,4.658137295
77,13,LOW,25,gender,0.537367986
77,13,LOW,25,grammatical,1.961760018
77,13,LOW,25,number,1.320412752
78,14,LOW,28,gender,5.82532586
78,14,LOW,28,grammatical,4.539675103
78,14,LOW,28,number,5.745620145
